symbol,tour,bet,pnl
BLIND_16,9,20.0,-20.0
BLIND_16,10,40.0,-40.0
BLIND_17,1,10.0,-10.0
BLIND_17,2,20.0,-20.0
BLIND_17,3,40.0,40.0
BLIND_17,4,10.0,-10.0
BLIND_17,5,20.0,-20.0
BLIND_17,6,40.0,40.0
BLIND_17,7,10.0,-10.0
BLIND_17,8,20.0,-20.0
BLIND_17,9,40.0,-40.0
BLIND_17,10,80.0,80.0
BLIND_18,1,10.0,-10.0
BLIND_18,2,20.0,-20.0
BLIND_18,3,40.0,40.0
BLIND_18,4,10.0,-10.0
BLIND_18,5,20.0,-20.0
BLIND_18,6,40.0,-40.0
BLIND_18,7,80.0,80.0
BLIND_18,8,10.0,-10.0
BLIND_18,9,20.0,-20.0
BLIND_18,10,40.0,-40.0
BLIND_19,1,10.0,-10.0
BLIND_19,2,20.0,-20.0
BLIND_19,3,40.0,40.0
BLIND_19,4,10.0,10.0
BLIND_19,5,10.0,10.0
BLIND_19,6,10.0,-10.0
BLIND_19,7,20.0,20.0
BLIND_19,8,10.0,-10.0
BLIND_19,9,20.0,20.0
BLIND_19,10,10.0,10.0
BLIND_20,1,10.0,-10.0
BLIND_20,2,20.0,-20.0
BLIND_20,3,40.0,-40.0
BLIND_20,4,80.0,-80.0
BLIND_20,5,160.0,-160.0
BLIND_20,6,320.0,320.0
BLIND_20,7,10.0,-10.0
BLIND_20,8,20.0,20.0
BLIND_20,9,10.0,10.0
BLIND_20,10,10.0,-10.0
BLIND_21,1,10.0,-10.0
BLIND_21,2,20.0,20.0
BLIND_21,3,10.0,10.0
BLIND_21,4,10.0,-10.0
BLIND_21,5,20.0,-20.0
BLIND_21,6,40.0,-40.0
BLIND_21,7,80.0,80.0
BLIND_21,8,10.0,10.0
BLIND_21,9,10.0,-10.0
BLIND_21,10,20.0,20.0
BLIND_22,1,10.0,10.0
BLIND_22,2,10.0,10.0
BLIND_22,3,10.0,10.0
BLIND_22,4,10.0,-10.0
BLIND_22,5,20.0,20.0
BLIND_22,6,10.0,10.0
BLIND_22,7,10.0,10.0
BLIND_22,8,10.0,10.0
BLIND_22,9,10.0,-10.0
BLIND_22,10,20.0,20.0
